# 238 stitchable .gigapan files matched to gigapan.com entries
# match types: paren_exact = filename in parens in name; word_match = stem found as word in name
# columns: match_type | gigapan_id | gigapan_name | images | local_path

paren_exact  |   17711 | 40% off - an art show for the new Economy(abco_interio |   28 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090221/abco_interior_b_7x4/abco_interior_b_7x4.gigapan
paren_exact  |    8581 | Burning Man 2008 - The Airport (airport2)               |  280 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/airport2.gigapan
paren_exact  |   17735 | 40% off - an art show for the new Economy (abco_interio |   32 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090221/abco_interior_e_8x4/abco_interior_e_8x4.gigapan
word_match   |   17726 | 40% off - an art show for the new Economy (abco_interio |   32 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090221/abco_interior_f2_8x4/abco_interior_f2_8x4.gigapan
paren_exact  |   17715 | 40% off - an art show for the new Economy (abco_interio |   32 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090221/abco_interior_f_8x4/abco_interior_f_8x4.gigapan
paren_exact  |    8550 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/bm2008_05.gigapan
paren_exact  |    8553 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/bm2008_06.gigapan
paren_exact  |    8550 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/bm2008_05.gigapan
paren_exact  |    8553 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/bm2008_06.gigapan
paren_exact  |    8550 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/bm2008_05.gigapan
paren_exact  |    8553 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/bm2008_06.gigapan
paren_exact  |    8550 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/bm2008_05.gigapan
paren_exact  |    8553 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/bm2008_06.gigapan
paren_exact  |    8550 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/bm2008_05.gigapan
paren_exact  |    8553 | Burning Man 2008 - from the technology platform (bm2008 |   33 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/bm2008_06.gigapan
paren_exact  |    8547 | Burning Man 2008 - 360 degree view from a Cherry Picker |  330 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/crane3.gigapan
paren_exact  |    8547 | Burning Man 2008 - 360 degree view from a Cherry Picker |  330 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/crane3.gigapan
paren_exact  |    8547 | Burning Man 2008 - 360 degree view from a Cherry Picker |  330 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/crane3.gigapan
paren_exact  |    8547 | Burning Man 2008 - 360 degree view from a Cherry Picker |  330 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/crane3.gigapan
paren_exact  |    8547 | Burning Man 2008 - 360 degree view from a Cherry Picker |  330 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/crane3.gigapan
paren_exact  |    2863 | Laguna de Santa Rosa (m12d) recropped                   |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/m12d.gigapan
paren_exact  |    2862 | Laguna de Santa Rosa (m12d)                             |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/m12d.gigapan
word_match   |    5469 | copy of rosie_01                                        |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/rosie_01.gigapan
paren_exact  |    5442 | Rosie the Riveteer WWII Home Front Memorial (rosie_01)  |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/rosie_01.gigapan
word_match   |    5469 | copy of rosie_01                                        |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/rosie_01.gigapan
paren_exact  |    5442 | Rosie the Riveteer WWII Home Front Memorial (rosie_01)  |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/rosie_01.gigapan
paren_exact  |    5671 | Steamboat Ed's Shop - Doorway, from outside. (steamboat |   35 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/steamboat_ed_04.gigapan
word_match   |   17465 | 'upload sfbay_39x9 - 0.4.4087 - sfbay_39x9'             |  351 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090212_plastiki/sfbay_39x9/sfbay_39x9.gigapan
paren_exact  |    5004 | Maker Faire my Gassifier fixation continues (mf15)      |   36 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf15.gigapan
paren_exact  |    5004 | Maker Faire my Gassifier fixation continues (mf15)      |   36 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf15.gigapan
paren_exact  |    8585 | Burning Man 2008 - Dreamland Checkpoint (checkpoint3)   |   39 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/checkpoint3.gigapan
paren_exact  |    8585 | Burning Man 2008 - Dreamland Checkpoint (checkpoint3)   |   39 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/checkpoint3.gigapan
paren_exact  |    8585 | Burning Man 2008 - Dreamland Checkpoint (checkpoint3)   |   39 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/checkpoint3.gigapan
paren_exact  |    8585 | Burning Man 2008 - Dreamland Checkpoint (checkpoint3)   |   39 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/checkpoint3.gigapan
paren_exact  |    8585 | Burning Man 2008 - Dreamland Checkpoint (checkpoint3)   |   39 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/checkpoint3.gigapan
word_match   |   14061 | 'upload l64_bay_36x11 - 0.4.3865 - l64_bay_36x11'       |  396 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/l64_bay.gigapan
word_match   |   14061 | 'upload l64_bay_36x11 - 0.4.3865 - l64_bay_36x11'       |  396 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/l64_bay.gigapan
word_match   |   14061 | 'upload l64_bay_36x11 - 0.4.3865 - l64_bay_36x11'       |  396 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/l64_bay.gigapan
paren_exact  |    5662 | From top of Neverwas Haul towards the stage the Maker F |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/mf12.gigapan
paren_exact  |    4972 | TechShop Pavilion (mf25)                                |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/mf25.gigapan
paren_exact  |    5662 | From top of Neverwas Haul towards the stage the Maker F |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf12.gigapan
paren_exact  |    4972 | TechShop Pavilion (mf25)                                |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf25.gigapan
paren_exact  |    5662 | From top of Neverwas Haul towards the stage the Maker F |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf12.gigapan
paren_exact  |    4972 | TechShop Pavilion (mf25)                                |   40 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf25.gigapan
paren_exact  |   17742 | 40% off - an art show for the new Economy (abco_interio |   40 imgs | /Volumes/bigeneration/pix_consolidated/copy_20090221/abco_interior_d_10x4/abco_interior_d_10x4.gigapan
paren_exact  |    5702 | Steamboat Ed's Shop - from outside. (steamboat_ed_03)   |  408 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/steamboat_ed_03.gigapan
paren_exact  |    4973 | Stout Tool Corp TechShop Pavilion (mf26)                |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf26.gigapan
paren_exact  |    4985 | Lego Trains (mf30)                                      |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf30.gigapan
paren_exact  |    6038 | Wilton and High Streets, Sebastopol (20080613_07)       |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/20080613_07.gigapan
paren_exact  |    6041 | Wilton and High Streets, Sebastopol (20080613_08)       |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/20080613_08.gigapan
paren_exact  |    4973 | Stout Tool Corp TechShop Pavilion (mf26)                |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf26.gigapan
paren_exact  |    4985 | Lego Trains (mf30)                                      |   42 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf30.gigapan
paren_exact  |    4987 | Institute for the Future conference  (iftf02)           |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/iftf02.gigapan
paren_exact  |    4987 | Institute for the Future conference  (iftf02)           |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/iftf02.gigapan
paren_exact  |    4978 | Gassifier (mf33)                                        |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf33.gigapan
paren_exact  |    4979 | Gassifier (mf34)                                        |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf34.gigapan
paren_exact  |    4987 | Institute for the Future conference  (iftf02)           |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/iftf02.gigapan
paren_exact  |    4978 | Gassifier (mf33)                                        |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf33.gigapan
paren_exact  |    4979 | Gassifier (mf34)                                        |   44 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf34.gigapan
paren_exact  |    4980 | Alameda Computer Resource Center (mf28)                 |   45 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf28.gigapan
paren_exact  |    4980 | Alameda Computer Resource Center (mf28)                 |   45 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf28.gigapan
word_match   |  112405 | Chris as a mosaic                                       |   45 imgs | /Volumes/bigeneration/pix_consolidated/SIGGRAPH2012/gigapans/chris.gigapan
word_match   |  111612 | Lovely statue in Chris' yard                            |   45 imgs | /Volumes/bigeneration/pix_consolidated/SIGGRAPH2012/gigapans/chris.gigapan
